[1,    69] loss: 12998.722
[2,    69] loss: 8191.563
[3,    69] loss: 4955.785
[4,    69] loss: 4894.671
[5,    69] loss: 4882.516
[6,    69] loss: 4867.305
[7,    69] loss: 4846.396
[8,    69] loss: 4817.199
[9,    69] loss: 4777.377
[10,    69] loss: 4723.454
[11,    69] loss: 4651.495
[12,    69] loss: 4560.118
[13,    69] loss: 4452.993
[14,    69] loss: 4333.441
[15,    69] loss: 4204.916
[16,    69] loss: 4071.293
[17,    69] loss: 3937.141
[18,    69] loss: 3806.716
[19,    69] loss: 3685.381
[20,    69] loss: 3580.776
[21,    69] loss: 3497.699
[22,    69] loss: 3438.485
[23,    69] loss: 3399.040
[24,    69] loss: 3374.104
[25,    69] loss: 3358.588
[26,    69] loss: 3348.327
[27,    69] loss: 3339.058
[28,    69] loss: 3329.602
[29,    69] loss: 3320.676
[30,    69] loss: 3313.211
[31,    69] loss: 3307.034
[32,    69] loss: 3301.448
[33,    69] loss: 3296.584
[34,    69] loss: 3291.806
[35,    69] loss: 3287.036
[36,    69] loss: 3282.517
[37,    69] loss: 3278.047
[38,    69] loss: 3273.804
[39,    69] loss: 3269.356
[40,    69] loss: 3265.531
[41,    69] loss: 3261.440
[42,    69] loss: 3258.065
[43,    69] loss: 3254.719
[44,    69] loss: 3251.253
[45,    69] loss: 3248.165
[46,    69] loss: 3244.855
[47,    69] loss: 3241.659
[48,    69] loss: 3239.048
[49,    69] loss: 3236.416
[50,    69] loss: 3233.885
[51,    69] loss: 3231.210
[52,    69] loss: 3228.753
[53,    69] loss: 3226.385
[54,    69] loss: 3223.970
[55,    69] loss: 3221.409
[56,    69] loss: 3219.074
[57,    69] loss: 3216.825
[58,    69] loss: 3214.464
[59,    69] loss: 3212.203
[60,    69] loss: 3209.620
[61,    69] loss: 3207.230
[62,    69] loss: 3204.995
[63,    69] loss: 3202.493
[64,    69] loss: 3200.233
[65,    69] loss: 3198.175
[66,    69] loss: 3196.054
[67,    69] loss: 3194.000
[68,    69] loss: 3192.125
[69,    69] loss: 3190.365
[70,    69] loss: 3188.781
[71,    69] loss: 3187.139
[72,    69] loss: 3185.170
[73,    69] loss: 3183.272
[74,    69] loss: 3181.837
[75,    69] loss: 3180.350
[76,    69] loss: 3178.718
[77,    69] loss: 3177.308
[78,    69] loss: 3176.212
[79,    69] loss: 3175.192
[80,    69] loss: 3174.083
[81,    69] loss: 3173.003
[82,    69] loss: 3171.972
[83,    69] loss: 3171.075
[84,    69] loss: 3170.319
[85,    69] loss: 3169.530
[86,    69] loss: 3168.592
[87,    69] loss: 3167.699
[88,    69] loss: 3166.919
[89,    69] loss: 3166.077
[90,    69] loss: 3165.212
[91,    69] loss: 3164.425
[92,    69] loss: 3163.583
[93,    69] loss: 3162.672
[94,    69] loss: 3162.064
[95,    69] loss: 3161.151
[96,    69] loss: 3160.437
[97,    69] loss: 3159.778
[98,    69] loss: 3159.081
[99,    69] loss: 3158.335
[100,    69] loss: 3157.756
[101,    69] loss: 3157.246
[102,    69] loss: 3156.314
[103,    69] loss: 3155.879
[104,    69] loss: 3155.203
[105,    69] loss: 3154.864
[106,    69] loss: 3154.338
[107,    69] loss: 3153.526
[108,    69] loss: 3152.807
[109,    69] loss: 3152.513
[110,    69] loss: 3151.795
[111,    69] loss: 3151.354
[112,    69] loss: 3150.993
[113,    69] loss: 3150.330
[114,    69] loss: 3149.890
[115,    69] loss: 3149.470
[116,    69] loss: 3148.801
[117,    69] loss: 3148.442
[118,    69] loss: 3148.092
[119,    69] loss: 3147.643
[120,    69] loss: 3146.987
[121,    69] loss: 3146.667
[122,    69] loss: 3146.177
[123,    69] loss: 3145.550
[124,    69] loss: 3144.969
[125,    69] loss: 3144.694
[126,    69] loss: 3144.264
[127,    69] loss: 3143.808
[128,    69] loss: 3143.263
[129,    69] loss: 3142.764
[130,    69] loss: 3142.132
[131,    69] loss: 3137.898
[132,    69] loss: 3136.910
[133,    69] loss: 3136.784
[134,    69] loss: 3136.654
[135,    69] loss: 3136.545
[136,    69] loss: 3136.429
[137,    69] loss: 3136.318
[138,    69] loss: 3136.211
[139,    69] loss: 3136.092
[140,    69] loss: 3136.011
[141,    69] loss: 3135.903
[142,    69] loss: 3135.824
[143,    69] loss: 3135.737
[144,    69] loss: 3135.660
[145,    69] loss: 3135.583
[146,    69] loss: 3135.523
[147,    69] loss: 3135.451
[148,    69] loss: 3135.379
[149,    69] loss: 3135.316
[150,    69] loss: 3135.232
[151,    69] loss: 3135.156
[152,    69] loss: 3135.085
[153,    69] loss: 3134.995
[154,    69] loss: 3134.923
[155,    69] loss: 3134.853
[156,    69] loss: 3134.775
[157,    69] loss: 3134.688
[158,    69] loss: 3134.592
[159,    69] loss: 3134.489
[160,    69] loss: 3134.409
[161,    69] loss: 3134.325
[162,    69] loss: 3134.245
[163,    69] loss: 3134.173
[164,    69] loss: 3134.085
[165,    69] loss: 3133.992
[166,    69] loss: 3133.914
[167,    69] loss: 3133.838
[168,    69] loss: 3133.766
[169,    69] loss: 3133.685
[170,    69] loss: 3133.621
[171,    69] loss: 3133.538
[172,    69] loss: 3133.473
[173,    69] loss: 3133.371
[174,    69] loss: 3133.309
[175,    69] loss: 3133.226
[176,    69] loss: 3133.153
[177,    69] loss: 3133.100
[178,    69] loss: 3133.034
[179,    69] loss: 3132.971
[180,    69] loss: 3132.894
[181,    69] loss: 3132.834
[182,    69] loss: 3132.782
[183,    69] loss: 3132.729
[184,    69] loss: 3132.655
[185,    69] loss: 3132.604
[186,    69] loss: 3132.523
[187,    69] loss: 3132.460
[188,    69] loss: 3132.397
[189,    69] loss: 3132.328
[190,    69] loss: 3132.258
[191,    69] loss: 3132.202
[192,    69] loss: 3132.139
[193,    69] loss: 3132.057
[194,    69] loss: 3131.989
[195,    69] loss: 3131.927
[196,    69] loss: 3131.863
[197,    69] loss: 3131.802
[198,    69] loss: 3131.743
[199,    69] loss: 3131.658
[200,    69] loss: 3131.575
[201,    69] loss: 3131.513
[202,    69] loss: 3131.443
[203,    69] loss: 3131.405
[204,    69] loss: 3131.341
[205,    69] loss: 3131.279
[206,    69] loss: 3131.214
[207,    69] loss: 3131.173
[208,    69] loss: 3131.105
[209,    69] loss: 3131.055
[210,    69] loss: 3130.981
[211,    69] loss: 3130.949
[212,    69] loss: 3130.882
[213,    69] loss: 3130.832
[214,    69] loss: 3130.764
[215,    69] loss: 3130.694
[216,    69] loss: 3130.628
[217,    69] loss: 3130.586
[218,    69] loss: 3130.543
[219,    69] loss: 3130.468
[220,    69] loss: 3130.431
[221,    69] loss: 3130.375
[222,    69] loss: 3130.319
[223,    69] loss: 3130.276
[224,    69] loss: 3130.210
[225,    69] loss: 3130.155
[226,    69] loss: 3130.107
[227,    69] loss: 3130.056
[228,    69] loss: 3130.000
[229,    69] loss: 3129.931
[230,    69] loss: 3129.889
[231,    69] loss: 3129.820
[232,    69] loss: 3129.750
[233,    69] loss: 3129.707
[234,    69] loss: 3129.671
[235,    69] loss: 3129.618
[236,    69] loss: 3129.541
[237,    69] loss: 3129.489
[238,    69] loss: 3129.436
[239,    69] loss: 3129.387
[240,    69] loss: 3129.321
[241,    69] loss: 3129.275
[242,    69] loss: 3129.223
[243,    69] loss: 3129.150
[244,    69] loss: 3129.098
[245,    69] loss: 3129.054
[246,    69] loss: 3128.989
[247,    69] loss: 3128.912
[248,    69] loss: 3128.856
[249,    69] loss: 3128.807
[250,    69] loss: 3128.733
[251,    69] loss: 3128.689
[252,    69] loss: 3128.648
[253,    69] loss: 3128.592
[254,    69] loss: 3128.557
[255,    69] loss: 3128.506
[256,    69] loss: 3128.459
[257,    69] loss: 3128.416
[258,    69] loss: 3128.368
[259,    69] loss: 3128.323
[260,    69] loss: 3128.311
[261,    69] loss: 3127.334
[262,    69] loss: 3127.307
[263,    69] loss: 3127.285
[264,    69] loss: 3127.270
[265,    69] loss: 3127.261
[266,    69] loss: 3127.254
[267,    69] loss: 3127.247
[268,    69] loss: 3127.242
[269,    69] loss: 3127.240
[270,    69] loss: 3127.233
[271,    69] loss: 3127.228
[272,    69] loss: 3127.221
[273,    69] loss: 3127.214
[274,    69] loss: 3127.208
[275,    69] loss: 3127.201
[276,    69] loss: 3127.195
[277,    69] loss: 3127.189
[278,    69] loss: 3127.181
[279,    69] loss: 3127.177
[280,    69] loss: 3127.172
[281,    69] loss: 3127.165
[282,    69] loss: 3127.159
[283,    69] loss: 3127.152
[284,    69] loss: 3127.145
[285,    69] loss: 3127.139
[286,    69] loss: 3127.131
[287,    69] loss: 3127.123
