[1,    19] loss: 54.163
[2,    19] loss: 52.479
[3,    19] loss: 51.218
[4,    19] loss: 50.252
[5,    19] loss: 49.624
[6,    19] loss: 49.288
[7,    19] loss: 49.118
[8,    19] loss: 49.044
[9,    19] loss: 49.016
[10,    19] loss: 49.007
[11,    19] loss: 49.005
[12,    19] loss: 49.006
[13,    19] loss: 49.007
[14,    19] loss: 49.008
[15,    19] loss: 49.009
[16,    19] loss: 49.011
[17,    19] loss: 49.011
[18,    19] loss: 49.010
[19,    19] loss: 49.009
[20,    19] loss: 49.008
[21,    19] loss: 49.008
[22,    19] loss: 49.008
[23,    19] loss: 49.008
[24,    19] loss: 49.008
[25,    19] loss: 49.008
[26,    19] loss: 49.008
[27,    19] loss: 49.008
[28,    19] loss: 49.008
[29,    19] loss: 49.008
[30,    19] loss: 49.008
[31,    19] loss: 49.008
[32,    19] loss: 49.008
[33,    19] loss: 49.007
[34,    19] loss: 49.007
[35,    19] loss: 49.006
[36,    19] loss: 49.005
[37,    19] loss: 49.002
[38,    19] loss: 48.994
[39,    19] loss: 48.945
[40,    19] loss: 47.604
[41,    19] loss: 39.556
[42,    19] loss: 33.190
[43,    19] loss: 29.086
[44,    19] loss: 25.534
[45,    19] loss: 22.963
[46,    19] loss: 20.432
[47,    19] loss: 18.671
[48,    19] loss: 17.496
[49,    19] loss: 16.934
[50,    19] loss: 16.826
[51,    19] loss: 16.497
[52,    19] loss: 15.990
[53,    19] loss: 15.028
[54,    19] loss: 14.125
[55,    19] loss: 13.978
[56,    19] loss: 13.617
[57,    19] loss: 13.082
[58,    19] loss: 13.020
[59,    19] loss: 12.607
[60,    19] loss: 12.195
[61,    19] loss: 11.906
[62,    19] loss: 11.709
[63,    19] loss: 11.664
[64,    19] loss: 12.732
[65,    19] loss: 13.316
[66,    19] loss: 14.290
[67,    19] loss: 13.563
[68,    19] loss: 12.373
[69,    19] loss: 12.507
[70,    19] loss: 11.920
[71,    19] loss: 12.090
[72,    19] loss: 12.313
[73,    19] loss: 12.079
[74,    19] loss: 11.726
[75,    19] loss: 11.916
[76,    19] loss: 11.673
[77,    19] loss: 11.402
[78,    19] loss: 11.667
[79,    19] loss: 11.584
[80,    19] loss: 11.019
[81,    19] loss: 11.218
[82,    19] loss: 11.817
[83,    19] loss: 12.648
[84,    19] loss: 12.302
[85,    19] loss: 13.204
[86,    19] loss: 11.025
[87,    19] loss: 11.568
[88,    19] loss: 11.694
[89,    19] loss: 11.839
[90,    19] loss: 11.897
[91,    19] loss: 12.183
[92,    19] loss: 11.674
[93,    19] loss: 14.095
[94,    19] loss: 14.421
[95,    19] loss: 12.964
[96,    19] loss: 12.364
[97,    19] loss: 11.689
[98,    19] loss: 13.009
