[1,    19] loss: 82.634
[2,    19] loss: 73.682
[3,    19] loss: 67.615
[4,    19] loss: 63.250
[5,    19] loss: 59.826
[6,    19] loss: 57.173
[7,    19] loss: 55.223
[8,    19] loss: 53.679
[9,    19] loss: 52.466
[10,    19] loss: 51.526
[11,    19] loss: 50.810
[12,    19] loss: 50.274
[13,    19] loss: 49.879
[14,    19] loss: 49.596
[15,    19] loss: 49.397
[16,    19] loss: 49.261
[17,    19] loss: 49.169
[18,    19] loss: 49.109
[19,    19] loss: 49.069
[20,    19] loss: 49.046
[21,    19] loss: 49.030
[22,    19] loss: 49.020
[23,    19] loss: 49.015
[24,    19] loss: 49.011
[25,    19] loss: 49.009
[26,    19] loss: 49.008
[27,    19] loss: 49.005
[28,    19] loss: 49.004
[29,    19] loss: 48.995
[30,    19] loss: 48.685
[31,    19] loss: 41.701
[32,    19] loss: 34.249
[33,    19] loss: 25.968
[34,    19] loss: 21.556
[35,    19] loss: 18.662
[36,    19] loss: 17.282
[37,    19] loss: 16.610
[38,    19] loss: 15.173
[39,    19] loss: 14.802
[40,    19] loss: 14.642
[41,    19] loss: 14.630
[42,    19] loss: 14.765
[43,    19] loss: 14.629
[44,    19] loss: 13.957
[45,    19] loss: 13.669
[46,    19] loss: 13.545
[47,    19] loss: 13.501
[48,    19] loss: 13.464
[49,    19] loss: 13.502
[50,    19] loss: 13.403
[51,    19] loss: 13.262
[52,    19] loss: 13.191
[53,    19] loss: 13.196
[54,    19] loss: 13.205
[55,    19] loss: 13.172
[56,    19] loss: 13.179
[57,    19] loss: 13.125
[58,    19] loss: 13.136
[59,    19] loss: 12.963
[60,    19] loss: 12.896
[61,    19] loss: 12.805
[62,    19] loss: 12.752
[63,    19] loss: 12.702
[64,    19] loss: 12.654
[65,    19] loss: 12.668
[66,    19] loss: 12.600
[67,    19] loss: 12.569
[68,    19] loss: 12.514
[69,    19] loss: 12.530
[70,    19] loss: 12.446
[71,    19] loss: 12.380
[72,    19] loss: 12.476
[73,    19] loss: 12.301
[74,    19] loss: 12.245
[75,    19] loss: 12.325
[76,    19] loss: 12.381
[77,    19] loss: 12.191
[78,    19] loss: 12.135
[79,    19] loss: 12.175
[80,    19] loss: 12.262
[81,    19] loss: 12.141
[82,    19] loss: 12.097
[83,    19] loss: 12.055
[84,    19] loss: 12.020
[85,    19] loss: 12.047
[86,    19] loss: 11.941
[87,    19] loss: 12.095
[88,    19] loss: 11.957
[89,    19] loss: 11.914
[90,    19] loss: 11.863
[91,    19] loss: 11.914
[92,    19] loss: 11.981
[93,    19] loss: 12.001
[94,    19] loss: 11.975
[95,    19] loss: 12.050
[96,    19] loss: 12.073
[97,    19] loss: 11.890
[98,    19] loss: 11.742
[99,    19] loss: 11.749
[100,    19] loss: 11.736
[101,    19] loss: 12.032
[102,    19] loss: 12.058
[103,    19] loss: 11.834
[104,    19] loss: 11.668
[105,    19] loss: 11.757
[106,    19] loss: 11.685
[107,    19] loss: 11.969
[108,    19] loss: 12.043
[109,    19] loss: 11.620
[110,    19] loss: 11.620
[111,    19] loss: 11.541
[112,    19] loss: 11.619
[113,    19] loss: 11.713
[114,    19] loss: 11.805
[115,    19] loss: 11.494
[116,    19] loss: 11.551
[117,    19] loss: 11.552
[118,    19] loss: 11.595
[119,    19] loss: 12.128
[120,    19] loss: 11.643
[121,    19] loss: 11.675
[122,    19] loss: 11.774
[123,    19] loss: 11.358
[124,    19] loss: 11.909
[125,    19] loss: 11.463
