[1,    19] loss: 159.662
[2,    19] loss: 146.883
[3,    19] loss: 134.597
[4,    19] loss: 122.224
[5,    19] loss: 101.467
[6,    19] loss: 54.305
[7,    19] loss: 49.905
[8,    19] loss: 49.214
[9,    19] loss: 49.162
[10,    19] loss: 49.183
[11,    19] loss: 49.190
[12,    19] loss: 49.186
[13,    19] loss: 49.177
[14,    19] loss: 49.167
[15,    19] loss: 49.156
[16,    19] loss: 49.144
[17,    19] loss: 49.134
[18,    19] loss: 49.124
[19,    19] loss: 49.115
[20,    19] loss: 49.107
[21,    19] loss: 49.100
[22,    19] loss: 49.094
[23,    19] loss: 49.088
[24,    19] loss: 49.083
[25,    19] loss: 49.078
[26,    19] loss: 49.074
[27,    19] loss: 49.069
[28,    19] loss: 49.065
[29,    19] loss: 49.062
[30,    19] loss: 49.058
[31,    19] loss: 49.054
[32,    19] loss: 49.050
[33,    19] loss: 49.047
[34,    19] loss: 49.044
[35,    19] loss: 49.041
[36,    19] loss: 49.038
[37,    19] loss: 49.035
[38,    19] loss: 49.033
[39,    19] loss: 49.030
[40,    19] loss: 49.028
[41,    19] loss: 49.026
[42,    19] loss: 49.023
[43,    19] loss: 49.021
[44,    19] loss: 49.019
[45,    19] loss: 49.017
[46,    19] loss: 49.015
[47,    19] loss: 49.013
[48,    19] loss: 49.011
[49,    19] loss: 49.010
[50,    19] loss: 49.008
[51,    19] loss: 49.006
[52,    19] loss: 49.005
[53,    19] loss: 49.003
[54,    19] loss: 49.001
[55,    19] loss: 49.000
[56,    19] loss: 48.998
[57,    19] loss: 48.996
[58,    19] loss: 48.995
[59,    19] loss: 48.993
[60,    19] loss: 48.991
[61,    19] loss: 48.989
[62,    19] loss: 48.987
[63,    19] loss: 48.984
[64,    19] loss: 48.982
[65,    19] loss: 48.980
[66,    19] loss: 48.978
[67,    19] loss: 48.976
[68,    19] loss: 48.973
[69,    19] loss: 48.971
[70,    19] loss: 48.968
[71,    19] loss: 48.966
[72,    19] loss: 48.964
[73,    19] loss: 48.961
[74,    19] loss: 48.959
[75,    19] loss: 48.956
[76,    19] loss: 48.954
[77,    19] loss: 48.951
[78,    19] loss: 48.949
[79,    19] loss: 48.946
[80,    19] loss: 48.944
[81,    19] loss: 48.941
[82,    19] loss: 48.938
[83,    19] loss: 48.935
[84,    19] loss: 48.931
[85,    19] loss: 48.928
[86,    19] loss: 48.925
[87,    19] loss: 48.922
[88,    19] loss: 48.919
[89,    19] loss: 48.916
[90,    19] loss: 48.913
[91,    19] loss: 48.910
[92,    19] loss: 48.906
[93,    19] loss: 48.903
[94,    19] loss: 48.899
[95,    19] loss: 48.896
[96,    19] loss: 48.892
[97,    19] loss: 48.888
[98,    19] loss: 48.885
[99,    19] loss: 48.880
[100,    19] loss: 48.875
[101,    19] loss: 48.840
[102,    19] loss: 49.019
[103,    19] loss: 48.856
[104,    19] loss: 48.847
[105,    19] loss: 48.853
[106,    19] loss: 48.847
[107,    19] loss: 48.840
[108,    19] loss: 48.835
[109,    19] loss: 48.830
[110,    19] loss: 48.824
[111,    19] loss: 48.819
[112,    19] loss: 48.814
[113,    19] loss: 48.808
[114,    19] loss: 48.803
[115,    19] loss: 48.797
