[1,    19] loss: 170.895
[2,    19] loss: 161.176
[3,    19] loss: 151.987
[4,    19] loss: 143.782
[5,    19] loss: 135.508
[6,    19] loss: 127.063
[7,    19] loss: 118.256
[8,    19] loss: 108.671
[9,    19] loss: 96.945
[10,    19] loss: 75.586
[11,    19] loss: 51.823
[12,    19] loss: 49.567
[13,    19] loss: 49.223
[14,    19] loss: 49.244
[15,    19] loss: 49.217
[16,    19] loss: 49.199
[17,    19] loss: 49.193
[18,    19] loss: 49.187
[19,    19] loss: 49.180
[20,    19] loss: 49.173
[21,    19] loss: 49.167
[22,    19] loss: 49.161
[23,    19] loss: 49.155
[24,    19] loss: 49.150
[25,    19] loss: 49.144
[26,    19] loss: 49.139
[27,    19] loss: 49.134
[28,    19] loss: 49.129
[29,    19] loss: 49.124
[30,    19] loss: 49.119
[31,    19] loss: 49.114
[32,    19] loss: 49.109
[33,    19] loss: 49.105
[34,    19] loss: 49.100
[35,    19] loss: 49.095
[36,    19] loss: 49.090
[37,    19] loss: 49.086
[38,    19] loss: 49.083
[39,    19] loss: 49.080
[40,    19] loss: 49.073
[41,    19] loss: 49.067
[42,    19] loss: 49.062
[43,    19] loss: 49.058
[44,    19] loss: 49.053
[45,    19] loss: 49.049
[46,    19] loss: 49.044
[47,    19] loss: 49.039
[48,    19] loss: 49.035
[49,    19] loss: 49.030
[50,    19] loss: 49.025
[51,    19] loss: 49.021
[52,    19] loss: 49.016
[53,    19] loss: 49.011
[54,    19] loss: 49.006
[55,    19] loss: 49.004
[56,    19] loss: 48.999
[57,    19] loss: 48.993
[58,    19] loss: 48.989
[59,    19] loss: 48.980
[60,    19] loss: 48.974
[61,    19] loss: 48.968
[62,    19] loss: 48.961
[63,    19] loss: 48.954
[64,    19] loss: 48.947
[65,    19] loss: 48.940
[66,    19] loss: 48.933
[67,    19] loss: 48.925
[68,    19] loss: 48.917
[69,    19] loss: 48.909
[70,    19] loss: 48.901
[71,    19] loss: 48.892
[72,    19] loss: 48.878
[73,    19] loss: 48.888
[74,    19] loss: 48.853
[75,    19] loss: 48.877
[76,    19] loss: 48.836
[77,    19] loss: 48.820
[78,    19] loss: 48.809
[79,    19] loss: 48.807
[80,    19] loss: 48.735
[81,    19] loss: 48.828
[82,    19] loss: 48.709
[83,    19] loss: 48.691
[84,    19] loss: 48.636
[85,    19] loss: 48.593
[86,    19] loss: 48.498
[87,    19] loss: 48.484
[88,    19] loss: 48.307
[89,    19] loss: 48.270
[90,    19] loss: 48.058
[91,    19] loss: 47.964
[92,    19] loss: 47.718
[93,    19] loss: 47.475
[94,    19] loss: 47.079
[95,    19] loss: 46.511
[96,    19] loss: 45.749
[97,    19] loss: 44.780
[98,    19] loss: 43.645
[99,    19] loss: 40.957
[100,    19] loss: 38.125
[101,    19] loss: 34.025
[102,    19] loss: 29.593
[103,    19] loss: 25.959
[104,    19] loss: 23.174
[105,    19] loss: 20.302
[106,    19] loss: 18.925
[107,    19] loss: 18.000
[108,    19] loss: 17.323
[109,    19] loss: 17.041
[110,    19] loss: 16.986
[111,    19] loss: 17.064
[112,    19] loss: 17.155
[113,    19] loss: 17.014
[114,    19] loss: 16.937
[115,    19] loss: 16.832
[116,    19] loss: 16.736
[117,    19] loss: 16.681
[118,    19] loss: 16.653
[119,    19] loss: 16.629
[120,    19] loss: 16.712
[121,    19] loss: 16.609
[122,    19] loss: 16.592
[123,    19] loss: 16.585
[124,    19] loss: 16.561
[125,    19] loss: 16.664
[126,    19] loss: 16.543
[127,    19] loss: 16.564
[128,    19] loss: 16.521
[129,    19] loss: 16.651
[130,    19] loss: 16.539
[131,    19] loss: 16.460
[132,    19] loss: 16.459
[133,    19] loss: 16.456
[134,    19] loss: 16.453
[135,    19] loss: 16.451
[136,    19] loss: 16.449
[137,    19] loss: 16.447
[138,    19] loss: 16.446
[139,    19] loss: 16.444
[140,    19] loss: 16.442
[141,    19] loss: 16.441
[142,    19] loss: 16.439
[143,    19] loss: 16.437
[144,    19] loss: 16.436
[145,    19] loss: 16.434
[146,    19] loss: 16.432
[147,    19] loss: 16.431
[148,    19] loss: 16.429
[149,    19] loss: 16.427
[150,    19] loss: 16.426
[151,    19] loss: 16.425
[152,    19] loss: 16.422
[153,    19] loss: 16.421
[154,    19] loss: 16.420
[155,    19] loss: 16.418
[156,    19] loss: 16.416
[157,    19] loss: 16.417
[158,    19] loss: 16.414
[159,    19] loss: 16.412
[160,    19] loss: 16.413
[161,    19] loss: 16.410
[162,    19] loss: 16.408
[163,    19] loss: 16.408
[164,    19] loss: 16.405
[165,    19] loss: 16.405
[166,    19] loss: 16.402
[167,    19] loss: 16.402
[168,    19] loss: 16.400
[169,    19] loss: 16.400
[170,    19] loss: 16.397
[171,    19] loss: 16.397
[172,    19] loss: 16.395
[173,    19] loss: 16.401
[174,    19] loss: 16.435
[175,    19] loss: 16.417
[176,    19] loss: 16.395
[177,    19] loss: 16.393
[178,    19] loss: 16.394
[179,    19] loss: 16.391
[180,    19] loss: 16.389
[181,    19] loss: 16.390
[182,    19] loss: 16.387
[183,    19] loss: 16.385
[184,    19] loss: 16.386
[185,    19] loss: 16.383
[186,    19] loss: 16.382
[187,    19] loss: 16.381
[188,    19] loss: 16.379
[189,    19] loss: 16.378
[190,    19] loss: 16.382
[191,    19] loss: 16.413
[192,    19] loss: 16.410
[193,    19] loss: 16.384
[194,    19] loss: 16.377
[195,    19] loss: 16.375
[196,    19] loss: 16.377
[197,    19] loss: 16.374
[198,    19] loss: 16.372
[199,    19] loss: 16.373
[200,    19] loss: 16.370
[201,    19] loss: 16.369
[202,    19] loss: 16.368
[203,    19] loss: 16.368
[204,    19] loss: 16.365
[205,    19] loss: 16.375
[206,    19] loss: 16.429
[207,    19] loss: 16.430
[208,    19] loss: 16.399
[209,    19] loss: 16.367
[210,    19] loss: 16.368
[211,    19] loss: 16.365
[212,    19] loss: 16.364
[213,    19] loss: 16.364
[214,    19] loss: 16.361
[215,    19] loss: 16.361
[216,    19] loss: 16.359
[217,    19] loss: 16.360
[218,    19] loss: 16.357
[219,    19] loss: 16.355
[220,    19] loss: 16.356
[221,    19] loss: 16.353
[222,    19] loss: 16.357
[223,    19] loss: 16.366
[224,    19] loss: 16.374
[225,    19] loss: 16.378
[226,    19] loss: 16.372
[227,    19] loss: 16.357
[228,    19] loss: 16.353
[229,    19] loss: 16.351
[230,    19] loss: 16.350
[231,    19] loss: 16.350
[232,    19] loss: 16.348
[233,    19] loss: 16.348
[234,    19] loss: 16.346
[235,    19] loss: 16.344
[236,    19] loss: 16.345
[237,    19] loss: 16.342
[238,    19] loss: 16.342
[239,    19] loss: 16.340
[240,    19] loss: 16.344
[241,    19] loss: 16.373
[242,    19] loss: 16.399
[243,    19] loss: 16.394
[244,    19] loss: 16.357
[245,    19] loss: 16.343
[246,    19] loss: 16.341
