[1,    19] loss: 93.709
[2,    19] loss: 86.993
[3,    19] loss: 82.223
[4,    19] loss: 78.313
[5,    19] loss: 74.903
[6,    19] loss: 71.651
[7,    19] loss: 68.598
[8,    19] loss: 64.122
[9,    19] loss: 55.571
[10,    19] loss: 51.682
[11,    19] loss: 50.172
[12,    19] loss: 49.690
[13,    19] loss: 49.459
[14,    19] loss: 49.352
[15,    19] loss: 49.308
[16,    19] loss: 49.281
[17,    19] loss: 49.260
[18,    19] loss: 49.251
[19,    19] loss: 49.257
[20,    19] loss: 49.214
[21,    19] loss: 49.216
[22,    19] loss: 49.206
[23,    19] loss: 49.198
[24,    19] loss: 49.191
[25,    19] loss: 49.184
[26,    19] loss: 49.177
[27,    19] loss: 49.177
[28,    19] loss: 49.186
[29,    19] loss: 49.150
[30,    19] loss: 49.166
[31,    19] loss: 49.151
[32,    19] loss: 49.151
[33,    19] loss: 49.145
[34,    19] loss: 49.142
[35,    19] loss: 49.137
[36,    19] loss: 49.134
[37,    19] loss: 49.130
[38,    19] loss: 49.125
[39,    19] loss: 49.132
[40,    19] loss: 49.115
[41,    19] loss: 49.118
[42,    19] loss: 49.112
[43,    19] loss: 49.110
[44,    19] loss: 49.106
[45,    19] loss: 49.101
[46,    19] loss: 49.109
[47,    19] loss: 49.092
[48,    19] loss: 49.096
[49,    19] loss: 49.089
[50,    19] loss: 49.088
[51,    19] loss: 49.094
[52,    19] loss: 49.079
[53,    19] loss: 49.099
[54,    19] loss: 49.084
[55,    19] loss: 49.086
[56,    19] loss: 49.080
[57,    19] loss: 49.078
[58,    19] loss: 49.074
[59,    19] loss: 49.071
[60,    19] loss: 49.068
[61,    19] loss: 49.065
[62,    19] loss: 49.062
[63,    19] loss: 49.059
[64,    19] loss: 49.057
[65,    19] loss: 49.054
[66,    19] loss: 49.051
[67,    19] loss: 49.049
[68,    19] loss: 49.046
[69,    19] loss: 49.043
[70,    19] loss: 49.041
[71,    19] loss: 49.039
[72,    19] loss: 49.036
[73,    19] loss: 49.034
[74,    19] loss: 49.032
[75,    19] loss: 49.030
[76,    19] loss: 49.028
[77,    19] loss: 49.026
[78,    19] loss: 49.024
[79,    19] loss: 49.022
[80,    19] loss: 49.019
[81,    19] loss: 49.017
[82,    19] loss: 49.015
[83,    19] loss: 49.013
[84,    19] loss: 49.011
[85,    19] loss: 49.008
[86,    19] loss: 49.006
[87,    19] loss: 49.004
[88,    19] loss: 49.002
[89,    19] loss: 49.000
[90,    19] loss: 48.998
[91,    19] loss: 48.996
[92,    19] loss: 48.994
[93,    19] loss: 48.992
[94,    19] loss: 48.989
[95,    19] loss: 48.987
[96,    19] loss: 48.984
[97,    19] loss: 48.982
[98,    19] loss: 48.980
[99,    19] loss: 48.977
[100,    19] loss: 48.974
[101,    19] loss: 48.972
[102,    19] loss: 48.969
[103,    19] loss: 48.965
[104,    19] loss: 48.962
[105,    19] loss: 48.959
[106,    19] loss: 48.955
[107,    19] loss: 48.951
[108,    19] loss: 48.947
[109,    19] loss: 48.943
[110,    19] loss: 48.939
[111,    19] loss: 48.934
[112,    19] loss: 48.929
[113,    19] loss: 48.923
[114,    19] loss: 48.917
[115,    19] loss: 48.911
[116,    19] loss: 48.904
[117,    19] loss: 48.897
[118,    19] loss: 48.890
[119,    19] loss: 48.882
[120,    19] loss: 48.874
[121,    19] loss: 48.864
[122,    19] loss: 48.852
[123,    19] loss: 48.843
[124,    19] loss: 48.830
[125,    19] loss: 48.817
[126,    19] loss: 48.801
[127,    19] loss: 48.786
[128,    19] loss: 48.772
[129,    19] loss: 48.754
[130,    19] loss: 48.742
[131,    19] loss: 48.557
[132,    19] loss: 48.554
[133,    19] loss: 48.545
[134,    19] loss: 48.540
[135,    19] loss: 48.536
[136,    19] loss: 48.533
[137,    19] loss: 48.529
[138,    19] loss: 48.526
[139,    19] loss: 48.523
[140,    19] loss: 48.519
[141,    19] loss: 48.516
[142,    19] loss: 48.512
[143,    19] loss: 48.509
[144,    19] loss: 48.505
[145,    19] loss: 48.502
[146,    19] loss: 48.498
[147,    19] loss: 48.495
[148,    19] loss: 48.491
[149,    19] loss: 48.488
[150,    19] loss: 48.484
[151,    19] loss: 48.481
[152,    19] loss: 48.477
[153,    19] loss: 48.473
[154,    19] loss: 48.469
[155,    19] loss: 48.465
[156,    19] loss: 48.461
[157,    19] loss: 48.458
[158,    19] loss: 48.454
[159,    19] loss: 48.450
[160,    19] loss: 48.446
[161,    19] loss: 48.442
[162,    19] loss: 48.438
[163,    19] loss: 48.434
[164,    19] loss: 48.430
[165,    19] loss: 48.426
[166,    19] loss: 48.423
[167,    19] loss: 48.419
[168,    19] loss: 48.415
[169,    19] loss: 48.411
[170,    19] loss: 48.406
[171,    19] loss: 48.402
[172,    19] loss: 48.398
[173,    19] loss: 48.394
[174,    19] loss: 48.390
[175,    19] loss: 48.386
[176,    19] loss: 48.381
[177,    19] loss: 48.377
[178,    19] loss: 48.373
[179,    19] loss: 48.369
[180,    19] loss: 48.364
[181,    19] loss: 48.360
[182,    19] loss: 48.355
[183,    19] loss: 48.350
[184,    19] loss: 48.345
[185,    19] loss: 48.340
[186,    19] loss: 48.335
[187,    19] loss: 48.331
[188,    19] loss: 48.326
[189,    19] loss: 48.322
[190,    19] loss: 48.317
[191,    19] loss: 48.312
[192,    19] loss: 48.307
[193,    19] loss: 48.302
[194,    19] loss: 48.298
[195,    19] loss: 48.293
[196,    19] loss: 48.288
[197,    19] loss: 48.284
[198,    19] loss: 48.279
[199,    19] loss: 48.274
[200,    19] loss: 48.269
[201,    19] loss: 48.264
[202,    19] loss: 48.260
[203,    19] loss: 48.255
[204,    19] loss: 48.250
[205,    19] loss: 48.245
[206,    19] loss: 48.240
[207,    19] loss: 48.235
[208,    19] loss: 48.231
[209,    19] loss: 48.226
[210,    19] loss: 48.221
[211,    19] loss: 48.217
[212,    19] loss: 48.212
[213,    19] loss: 48.207
[214,    19] loss: 48.202
[215,    19] loss: 48.197
[216,    19] loss: 48.192
[217,    19] loss: 48.187
[218,    19] loss: 48.181
[219,    19] loss: 48.176
[220,    19] loss: 48.171
[221,    19] loss: 48.166
[222,    19] loss: 48.161
[223,    19] loss: 48.156
[224,    19] loss: 48.151
[225,    19] loss: 48.146
[226,    19] loss: 48.142
[227,    19] loss: 48.137
[228,    19] loss: 48.133
[229,    19] loss: 48.128
[230,    19] loss: 48.124
[231,    19] loss: 48.119
[232,    19] loss: 48.115
[233,    19] loss: 48.110
[234,    19] loss: 48.106
[235,    19] loss: 48.101
[236,    19] loss: 48.097
[237,    19] loss: 48.092
[238,    19] loss: 48.088
[239,    19] loss: 48.084
[240,    19] loss: 48.079
[241,    19] loss: 48.075
[242,    19] loss: 48.070
[243,    19] loss: 48.066
[244,    19] loss: 48.062
[245,    19] loss: 48.057
[246,    19] loss: 48.053
[247,    19] loss: 48.049
[248,    19] loss: 48.045
[249,    19] loss: 48.041
[250,    19] loss: 48.036
[251,    19] loss: 48.032
[252,    19] loss: 48.028
[253,    19] loss: 48.024
[254,    19] loss: 48.020
[255,    19] loss: 48.016
[256,    19] loss: 48.012
[257,    19] loss: 48.008
[258,    19] loss: 48.004
[259,    19] loss: 48.000
[260,    19] loss: 47.996
[261,    19] loss: 47.979
[262,    19] loss: 47.979
[263,    19] loss: 47.978
[264,    19] loss: 47.978
[265,    19] loss: 47.978
[266,    19] loss: 47.977
[267,    19] loss: 47.977
[268,    19] loss: 47.976
[269,    19] loss: 47.976
[270,    19] loss: 47.976
[271,    19] loss: 47.975
[272,    19] loss: 47.975
[273,    19] loss: 47.974
[274,    19] loss: 47.974
[275,    19] loss: 47.974
[276,    19] loss: 47.973
[277,    19] loss: 47.973
[278,    19] loss: 47.973
[279,    19] loss: 47.972
[280,    19] loss: 47.972
[281,    19] loss: 47.971
[282,    19] loss: 47.971
[283,    19] loss: 47.971
[284,    19] loss: 47.970
[285,    19] loss: 47.970
[286,    19] loss: 47.969
[287,    19] loss: 47.969
[288,    19] loss: 47.969
[289,    19] loss: 47.968
[290,    19] loss: 47.968
[291,    19] loss: 47.968
[292,    19] loss: 47.967
[293,    19] loss: 47.967
[294,    19] loss: 47.966
[295,    19] loss: 47.966
[296,    19] loss: 47.966
[297,    19] loss: 47.965
[298,    19] loss: 47.965
[299,    19] loss: 47.965
[300,    19] loss: 47.964
[301,    19] loss: 47.964
[302,    19] loss: 47.963
[303,    19] loss: 47.963
[304,    19] loss: 47.963
[305,    19] loss: 47.962
[306,    19] loss: 47.962
[307,    19] loss: 47.961
[308,    19] loss: 47.961
[309,    19] loss: 47.961
[310,    19] loss: 47.960
[311,    19] loss: 47.960
[312,    19] loss: 47.960
[313,    19] loss: 47.959
[314,    19] loss: 47.959
[315,    19] loss: 47.958
[316,    19] loss: 47.958
[317,    19] loss: 47.958
[318,    19] loss: 47.957
[319,    19] loss: 47.957
[320,    19] loss: 47.957
[321,    19] loss: 47.956
[322,    19] loss: 47.956
[323,    19] loss: 47.955
[324,    19] loss: 47.955
[325,    19] loss: 47.955
[326,    19] loss: 47.954
[327,    19] loss: 47.954
[328,    19] loss: 47.954
[329,    19] loss: 47.953
[330,    19] loss: 47.953
[331,    19] loss: 47.952
[332,    19] loss: 47.952
[333,    19] loss: 47.952
[334,    19] loss: 47.951
[335,    19] loss: 47.951
[336,    19] loss: 47.951
[337,    19] loss: 47.950
[338,    19] loss: 47.950
[339,    19] loss: 47.950
[340,    19] loss: 47.949
[341,    19] loss: 47.949
[342,    19] loss: 47.948
[343,    19] loss: 47.948
[344,    19] loss: 47.948
[345,    19] loss: 47.947
[346,    19] loss: 47.947
[347,    19] loss: 47.947
[348,    19] loss: 47.946
[349,    19] loss: 47.946
[350,    19] loss: 47.945
[351,    19] loss: 47.945
[352,    19] loss: 47.945
[353,    19] loss: 47.944
[354,    19] loss: 47.944
[355,    19] loss: 47.944
[356,    19] loss: 47.943
[357,    19] loss: 47.943
[358,    19] loss: 47.943
[359,    19] loss: 47.942
[360,    19] loss: 47.942
[361,    19] loss: 47.941
[362,    19] loss: 47.941
[363,    19] loss: 47.941
[364,    19] loss: 47.940
[365,    19] loss: 47.940
[366,    19] loss: 47.940
[367,    19] loss: 47.939
[368,    19] loss: 47.939
[369,    19] loss: 47.939
[370,    19] loss: 47.938
[371,    19] loss: 47.938
[372,    19] loss: 47.937
[373,    19] loss: 47.937
[374,    19] loss: 47.937
[375,    19] loss: 47.936
[376,    19] loss: 47.936
[377,    19] loss: 47.936
[378,    19] loss: 47.935
[379,    19] loss: 47.935
[380,    19] loss: 47.934
[381,    19] loss: 47.934
[382,    19] loss: 47.934
[383,    19] loss: 47.933
[384,    19] loss: 47.933
[385,    19] loss: 47.933
[386,    19] loss: 47.932
[387,    19] loss: 47.932
[388,    19] loss: 47.931
[389,    19] loss: 47.931
[390,    19] loss: 47.931
[391,    19] loss: 47.929
[392,    19] loss: 47.929
[393,    19] loss: 47.929
[394,    19] loss: 47.929
[395,    19] loss: 47.929
[396,    19] loss: 47.929
[397,    19] loss: 47.929
[398,    19] loss: 47.929
[399,    19] loss: 47.929
[400,    19] loss: 47.929
[401,    19] loss: 47.929
[402,    19] loss: 47.929
[403,    19] loss: 47.929
[404,    19] loss: 47.929
[405,    19] loss: 47.929
[406,    19] loss: 47.929
[407,    19] loss: 47.929
[408,    19] loss: 47.929
[409,    19] loss: 47.929
[410,    19] loss: 47.929
[411,    19] loss: 47.928
[412,    19] loss: 47.928
[413,    19] loss: 47.928
[414,    19] loss: 47.928
[415,    19] loss: 47.928
[416,    19] loss: 47.928
[417,    19] loss: 47.928
[418,    19] loss: 47.928
[419,    19] loss: 47.928
[420,    19] loss: 47.928
[421,    19] loss: 47.928
[422,    19] loss: 47.928
[423,    19] loss: 47.928
[424,    19] loss: 47.928
[425,    19] loss: 47.928
[426,    19] loss: 47.928
[427,    19] loss: 47.928
[428,    19] loss: 47.928
[429,    19] loss: 47.928
[430,    19] loss: 47.928
[431,    19] loss: 47.928
[432,    19] loss: 47.928
[433,    19] loss: 47.928
[434,    19] loss: 47.928
[435,    19] loss: 47.928
[436,    19] loss: 47.928
[437,    19] loss: 47.928
[438,    19] loss: 47.927
[439,    19] loss: 47.927
[440,    19] loss: 47.927
[441,    19] loss: 47.927
[442,    19] loss: 47.927
[443,    19] loss: 47.927
[444,    19] loss: 47.927
[445,    19] loss: 47.927
[446,    19] loss: 47.927
[447,    19] loss: 47.927
[448,    19] loss: 47.927
[449,    19] loss: 47.927
[450,    19] loss: 47.927
[451,    19] loss: 47.927
[452,    19] loss: 47.927
[453,    19] loss: 47.927
[454,    19] loss: 47.927
[455,    19] loss: 47.927
[456,    19] loss: 47.927
[457,    19] loss: 47.927
[458,    19] loss: 47.927
[459,    19] loss: 47.927
[460,    19] loss: 47.927
[461,    19] loss: 47.927
[462,    19] loss: 47.927
[463,    19] loss: 47.927
[464,    19] loss: 47.927
[465,    19] loss: 47.926
[466,    19] loss: 47.926
[467,    19] loss: 47.926
[468,    19] loss: 47.926
[469,    19] loss: 47.926
[470,    19] loss: 47.926
[471,    19] loss: 47.926
[472,    19] loss: 47.926
[473,    19] loss: 47.926
[474,    19] loss: 47.926
[475,    19] loss: 47.926
[476,    19] loss: 47.926
[477,    19] loss: 47.926
[478,    19] loss: 47.926
[479,    19] loss: 47.926
[480,    19] loss: 47.926
[481,    19] loss: 47.926
[482,    19] loss: 47.926
[483,    19] loss: 47.926
[484,    19] loss: 47.926
[485,    19] loss: 47.926
[486,    19] loss: 47.926
[487,    19] loss: 47.926
[488,    19] loss: 47.926
[489,    19] loss: 47.926
[490,    19] loss: 47.926
[491,    19] loss: 47.926
[492,    19] loss: 47.925
[493,    19] loss: 47.925
[494,    19] loss: 47.925
[495,    19] loss: 47.925
[496,    19] loss: 47.925
[497,    19] loss: 47.925
[498,    19] loss: 47.925
[499,    19] loss: 47.925
[500,    19] loss: 47.925
