[1,    19] loss: 53.679
[2,    19] loss: 50.904
[3,    19] loss: 49.544
[4,    19] loss: 49.095
[5,    19] loss: 49.000
[6,    19] loss: 48.999
[7,    19] loss: 49.004
[8,    19] loss: 49.006
[9,    19] loss: 49.006
[10,    19] loss: 49.006
[11,    19] loss: 49.006
[12,    19] loss: 49.006
[13,    19] loss: 49.005
[14,    19] loss: 49.005
[15,    19] loss: 49.004
[16,    19] loss: 49.002
[17,    19] loss: 48.999
[18,    19] loss: 48.991
[19,    19] loss: 48.953
[20,    19] loss: 48.808
[21,    19] loss: 47.566
[22,    19] loss: 40.479
[23,    19] loss: 31.890
[24,    19] loss: 24.819
[25,    19] loss: 20.351
[26,    19] loss: 17.684
[27,    19] loss: 16.257
[28,    19] loss: 15.282
[29,    19] loss: 14.562
[30,    19] loss: 14.266
[31,    19] loss: 14.811
[32,    19] loss: 16.910
[33,    19] loss: 15.761
[34,    19] loss: 13.933
[35,    19] loss: 13.211
[36,    19] loss: 13.132
[37,    19] loss: 12.971
[38,    19] loss: 12.896
[39,    19] loss: 12.251
[40,    19] loss: 12.429
[41,    19] loss: 12.951
[42,    19] loss: 13.366
[43,    19] loss: 11.884
[44,    19] loss: 11.764
[45,    19] loss: 11.884
[46,    19] loss: 11.441
[47,    19] loss: 10.913
[48,    19] loss: 10.892
[49,    19] loss: 10.754
[50,    19] loss: 10.824
[51,    19] loss: 11.256
[52,    19] loss: 11.624
[53,    19] loss: 11.812
[54,    19] loss: 12.120
[55,    19] loss: 11.479
[56,    19] loss: 11.675
[57,    19] loss: 11.388
[58,    19] loss: 10.779
[59,    19] loss: 11.041
[60,    19] loss: 10.971
[61,    19] loss: 10.429
[62,    19] loss: 10.374
[63,    19] loss: 10.351
[64,    19] loss: 10.404
[65,    19] loss: 10.540
[66,    19] loss: 12.912
[67,    19] loss: 10.318
[68,    19] loss: 10.133
[69,    19] loss: 10.838
[70,    19] loss: 9.839
[71,    19] loss: 10.050
[72,    19] loss: 10.858
[73,    19] loss: 10.197
[74,    19] loss: 10.233
[75,    19] loss: 9.777
[76,    19] loss: 10.546
[77,    19] loss: 9.676
[78,    19] loss: 9.672
[79,    19] loss: 9.317
[80,    19] loss: 9.965
[81,    19] loss: 10.542
[82,    19] loss: 10.481
[83,    19] loss: 11.457
[84,    19] loss: 9.950
[85,    19] loss: 10.302
[86,    19] loss: 10.728
[87,    19] loss: 11.624
[88,    19] loss: 12.637
[89,    19] loss: 11.061
[90,    19] loss: 10.820
[91,    19] loss: 11.214
[92,    19] loss: 11.442
[93,    19] loss: 11.409
[94,    19] loss: 11.010
[95,    19] loss: 12.540
[96,    19] loss: 10.996
[97,    19] loss: 11.590
[98,    19] loss: 12.509
[99,    19] loss: 12.057
[100,    19] loss: 11.936
[101,    19] loss: 10.263
[102,    19] loss: 10.731
[103,    19] loss: 10.057
[104,    19] loss: 9.531
[105,    19] loss: 9.453
[106,    19] loss: 9.585
[107,    19] loss: 9.433
[108,    19] loss: 9.760
[109,    19] loss: 9.626
[110,    19] loss: 10.116
[111,    19] loss: 9.209
[112,    19] loss: 9.004
[113,    19] loss: 8.781
[114,    19] loss: 9.125
[115,    19] loss: 8.797
[116,    19] loss: 8.813
[117,    19] loss: 9.004
[118,    19] loss: 9.010
[119,    19] loss: 9.427
[120,    19] loss: 9.468
[121,    19] loss: 10.228
[122,    19] loss: 8.863
[123,    19] loss: 8.557
[124,    19] loss: 8.506
[125,    19] loss: 8.371
[126,    19] loss: 8.373
[127,    19] loss: 8.385
[128,    19] loss: 8.416
[129,    19] loss: 8.386
[130,    19] loss: 8.265
[131,    19] loss: 8.198
[132,    19] loss: 8.161
[133,    19] loss: 8.144
[134,    19] loss: 8.135
[135,    19] loss: 8.123
[136,    19] loss: 8.117
[137,    19] loss: 8.112
[138,    19] loss: 8.109
[139,    19] loss: 8.106
[140,    19] loss: 8.103
[141,    19] loss: 8.101
[142,    19] loss: 8.099
[143,    19] loss: 8.097
[144,    19] loss: 8.096
[145,    19] loss: 8.094
[146,    19] loss: 8.093
[147,    19] loss: 8.091
[148,    19] loss: 8.090
[149,    19] loss: 8.089
[150,    19] loss: 8.088
[151,    19] loss: 8.087
[152,    19] loss: 8.087
[153,    19] loss: 8.086
[154,    19] loss: 8.085
[155,    19] loss: 8.084
[156,    19] loss: 8.084
[157,    19] loss: 8.083
[158,    19] loss: 8.083
[159,    19] loss: 8.082
[160,    19] loss: 8.082
[161,    19] loss: 8.081
[162,    19] loss: 8.081
[163,    19] loss: 8.080
[164,    19] loss: 8.080
[165,    19] loss: 8.080
[166,    19] loss: 8.079
[167,    19] loss: 8.079
[168,    19] loss: 8.079
[169,    19] loss: 8.078
[170,    19] loss: 8.078
[171,    19] loss: 8.078
[172,    19] loss: 8.077
[173,    19] loss: 8.077
[174,    19] loss: 8.077
[175,    19] loss: 8.076
[176,    19] loss: 8.076
[177,    19] loss: 8.076
[178,    19] loss: 8.075
[179,    19] loss: 8.075
[180,    19] loss: 8.075
[181,    19] loss: 8.075
[182,    19] loss: 8.074
[183,    19] loss: 8.074
[184,    19] loss: 8.074
[185,    19] loss: 8.074
[186,    19] loss: 8.074
[187,    19] loss: 8.073
[188,    19] loss: 8.073
[189,    19] loss: 8.073
[190,    19] loss: 8.073
[191,    19] loss: 8.073
[192,    19] loss: 8.073
[193,    19] loss: 8.072
[194,    19] loss: 8.072
[195,    19] loss: 8.072
[196,    19] loss: 8.072
[197,    19] loss: 8.072
[198,    19] loss: 8.072
[199,    19] loss: 8.072
[200,    19] loss: 8.071
[201,    19] loss: 8.071
[202,    19] loss: 8.071
[203,    19] loss: 8.071
[204,    19] loss: 8.071
[205,    19] loss: 8.071
[206,    19] loss: 8.071
[207,    19] loss: 8.071
[208,    19] loss: 8.071
[209,    19] loss: 8.071
[210,    19] loss: 8.071
[211,    19] loss: 8.070
[212,    19] loss: 8.070
[213,    19] loss: 8.070
[214,    19] loss: 8.070
[215,    19] loss: 8.070
[216,    19] loss: 8.070
[217,    19] loss: 8.070
[218,    19] loss: 8.070
[219,    19] loss: 8.070
[220,    19] loss: 8.070
[221,    19] loss: 8.070
[222,    19] loss: 8.070
[223,    19] loss: 8.070
[224,    19] loss: 8.070
[225,    19] loss: 8.070
[226,    19] loss: 8.070
[227,    19] loss: 8.070
[228,    19] loss: 8.069
[229,    19] loss: 8.069
[230,    19] loss: 8.069
[231,    19] loss: 8.069
[232,    19] loss: 8.069
[233,    19] loss: 8.069
[234,    19] loss: 8.069
[235,    19] loss: 8.069
[236,    19] loss: 8.069
[237,    19] loss: 8.069
[238,    19] loss: 8.069
[239,    19] loss: 8.069
[240,    19] loss: 8.069
[241,    19] loss: 8.069
[242,    19] loss: 8.069
[243,    19] loss: 8.069
[244,    19] loss: 8.069
[245,    19] loss: 8.069
[246,    19] loss: 8.069
[247,    19] loss: 8.069
[248,    19] loss: 8.069
[249,    19] loss: 8.069
[250,    19] loss: 8.069
[251,    19] loss: 8.069
[252,    19] loss: 8.069
[253,    19] loss: 8.069
[254,    19] loss: 8.069
[255,    19] loss: 8.068
[256,    19] loss: 8.068
[257,    19] loss: 8.068
[258,    19] loss: 8.068
[259,    19] loss: 8.068
[260,    19] loss: 8.068
[261,    19] loss: 8.067
[262,    19] loss: 8.067
[263,    19] loss: 8.067
[264,    19] loss: 8.067
[265,    19] loss: 8.067
[266,    19] loss: 8.067
[267,    19] loss: 8.067
[268,    19] loss: 8.067
[269,    19] loss: 8.067
[270,    19] loss: 8.067
[271,    19] loss: 8.067
