[1,    69] loss: 10978.681
[2,    69] loss: 5609.326
[3,    69] loss: 4961.118
[4,    69] loss: 4933.912
[5,    69] loss: 4900.846
[6,    69] loss: 4761.612
[7,    69] loss: 4271.799
[8,    69] loss: 3923.090
[9,    69] loss: 3855.431
[10,    69] loss: 3833.913
[11,    69] loss: 3819.402
[12,    69] loss: 3810.323
[13,    69] loss: 3805.362
[14,    69] loss: 3801.791
[15,    69] loss: 3795.906
[16,    69] loss: 3793.620
[17,    69] loss: 3791.401
[18,    69] loss: 3789.500
[19,    69] loss: 3788.028
[20,    69] loss: 3786.806
[21,    69] loss: 3785.552
[22,    69] loss: 3784.421
[23,    69] loss: 3783.545
[24,    69] loss: 3782.699
[25,    69] loss: 3782.000
[26,    69] loss: 3781.199
[27,    69] loss: 3780.692
[28,    69] loss: 3780.063
[29,    69] loss: 3779.342
[30,    69] loss: 3779.001
[31,    69] loss: 3778.429
[32,    69] loss: 3778.232
[33,    69] loss: 3777.571
[34,    69] loss: 3776.773
[35,    69] loss: 3776.303
[36,    69] loss: 3775.823
[37,    69] loss: 3775.322
[38,    69] loss: 3774.817
[39,    69] loss: 3774.142
[40,    69] loss: 3773.671
[41,    69] loss: 3773.102
[42,    69] loss: 3772.495
[43,    69] loss: 3772.095
[44,    69] loss: 3771.605
[45,    69] loss: 3771.289
[46,    69] loss: 3770.539
[47,    69] loss: 3770.253
[48,    69] loss: 3769.934
[49,    69] loss: 3769.203
[50,    69] loss: 3768.779
[51,    69] loss: 3768.505
[52,    69] loss: 3767.860
[53,    69] loss: 3767.191
[54,    69] loss: 3766.805
[55,    69] loss: 3766.156
[56,    69] loss: 3765.575
[57,    69] loss: 3764.890
[58,    69] loss: 3763.425
[59,    69] loss: 3762.592
[60,    69] loss: 3760.599
[61,    69] loss: 3757.666
[62,    69] loss: 3754.297
[63,    69] loss: 3749.264
[64,    69] loss: 3742.723
[65,    69] loss: 3733.911
[66,    69] loss: 3723.986
[67,    69] loss: 3711.636
[68,    69] loss: 3697.839
